VehicleType,Distance_KM,OldFare_Normal_RS,RevisedFare_Normal_RS,OldFare_Midnight_RS,RevisedFare_Midnight_RS
Black Yellow Taxi,1.5,28,31,35,39
Black Yellow Taxi,1.6,30,33,37,41
Black Yellow Taxi,1.7,32,35,40,44
Black Yellow Taxi,1.8,34,37,42,46
Black Yellow Taxi,1.9,35,39,44,49
Black Yellow Taxi,2,37,41,47,52
Black Yellow Taxi,2.1,39,43,49,54
Black Yellow Taxi,2.2,41,45,51,57
Black Yellow Taxi,2.3,43,48,54,59
Black Yellow Taxi,2.4,45,50,56,62
Black Yellow Taxi,2.5,47,52,58,65
Black Yellow Taxi,2.6,49,54,61,67
Black Yellow Taxi,2.7,50,56,63,70
Black Yellow Taxi,2.8,52,58,65,72
Black Yellow Taxi,2.9,54,60,68,75
Black Yellow Taxi,3,56,62,70,77
Black Yellow Taxi,3.1,58,64,72,80
Black Yellow Taxi,3.2,60,66,75,83
Black Yellow Taxi,3.3,62,68,77,85
Black Yellow Taxi,3.4,63,70,79,88
Black Yellow Taxi,3.5,65,72,82,90
Black Yellow Taxi,3.6,67,74,84,93
Black Yellow Taxi,3.7,69,76,86,96
Black Yellow Taxi,3.8,71,79,89,98
Black Yellow Taxi,3.9,73,81,91,101
Black Yellow Taxi,4,75,83,93,103
Black Yellow Taxi,4.1,77,85,96,106
Black Yellow Taxi,4.2,78,87,98,108
Black Yellow Taxi,4.3,80,89,100,111
Black Yellow Taxi,4.4,82,91,103,114
Black Yellow Taxi,4.5,84,93,105,116
Black Yellow Taxi,4.6,86,95,107,119
Black Yellow Taxi,4.7,88,97,110,121
Black Yellow Taxi,4.8,90,99,112,124
Black Yellow Taxi,4.9,91,101,114,127
Black Yellow Taxi,5,93,103,117,129
Black Yellow Taxi,5.1,95,105,119,132
Black Yellow Taxi,5.2,97,107,121,134
Black Yellow Taxi,5.3,99,109,124,137
Black Yellow Taxi,5.4,101,112,126,139
Black Yellow Taxi,5.5,103,114,128,142
Black Yellow Taxi,5.6,104,116,131,145
Black Yellow Taxi,5.7,106,118,133,147
Black Yellow Taxi,5.8,108,120,135,150
Black Yellow Taxi,5.9,110,122,138,152
Black Yellow Taxi,6,112,124,140,155
Black Yellow Taxi,6.1,114,126,142,158
Black Yellow Taxi,6.2,116,128,145,160
Black Yellow Taxi,6.3,118,130,147,163
Black Yellow Taxi,6.4,119,132,149,165
Black Yellow Taxi,6.5,121,134,152,168
Black Yellow Taxi,6.6,123,136,154,170
Black Yellow Taxi,6.7,125,138,156,173
Black Yellow Taxi,6.8,127,140,159,176
Black Yellow Taxi,6.9,129,143,161,178
Black Yellow Taxi,7,131,145,163,181
Black Yellow Taxi,7.1,132,147,166,183
Black Yellow Taxi,7.2,134,149,168,186
Black Yellow Taxi,7.3,136,151,170,189
Black Yellow Taxi,7.4,138,153,173,191
Black Yellow Taxi,7.5,140,155,175,194
Black Yellow Taxi,7.6,142,157,177,196
Black Yellow Taxi,7.7,144,159,180,199
Black Yellow Taxi,7.8,146,161,182,201
Black Yellow Taxi,7.9,147,163,184,204
Black Yellow Taxi,8,149,165,187,207
Black Yellow Taxi,8.1,151,167,189,209
Black Yellow Taxi,8.2,153,169,191,212
Black Yellow Taxi,8.3,155,171,194,214
Black Yellow Taxi,8.4,157,174,196,217
Black Yellow Taxi,8.5,159,176,198,220
Black Yellow Taxi,8.6,160,178,201,222
Black Yellow Taxi,8.7,162,180,203,225
Black Yellow Taxi,8.8,164,182,205,227
Black Yellow Taxi,8.9,166,184,208,230
Black Yellow Taxi,9,168,186,210,232
Black Yellow Taxi,9.1,170,188,212,235
Black Yellow Taxi,9.2,172,190,215,238
Black Yellow Taxi,9.3,174,192,217,240
Black Yellow Taxi,9.4,175,194,219,243
Black Yellow Taxi,9.5,177,196,222,245
Black Yellow Taxi,9.6,179,198,224,248
Black Yellow Taxi,9.7,181,200,226,251
Black Yellow Taxi,9.8,183,202,229,253
Black Yellow Taxi,9.9,185,205,231,256
Black Yellow Taxi,10,187,207,233,258
Black Yellow Taxi,10.1,188,209,236,261
Black Yellow Taxi,10.2,190,211,238,263
Black Yellow Taxi,10.3,192,213,240,266
Black Yellow Taxi,10.4,194,215,243,269
Black Yellow Taxi,10.5,196,217,245,271
Black Yellow Taxi,10.6,198,219,247,274
Black Yellow Taxi,10.7,200,221,250,276
Black Yellow Taxi,10.8,202,223,252,279
Black Yellow Taxi,10.9,203,225,254,281
Black Yellow Taxi,11,205,227,257,284
Black Yellow Taxi,11.1,207,229,259,287
Black Yellow Taxi,11.2,209,231,261,289
Black Yellow Taxi,11.3,211,233,264,292
Black Yellow Taxi,11.4,213,236,266,294
Black Yellow Taxi,11.5,215,238,268,297
Black Yellow Taxi,11.6,216,240,271,300
Black Yellow Taxi,11.7,218,242,273,302
Black Yellow Taxi,11.8,220,244,275,305
Black Yellow Taxi,11.9,222,246,278,307
Black Yellow Taxi,12,224,248,280,310
Black Yellow Taxi,12.1,226,250,282,312
Black Yellow Taxi,12.2,228,252,285,315
Black Yellow Taxi,12.3,230,254,287,318
Black Yellow Taxi,12.4,231,256,289,320
Black Yellow Taxi,12.5,233,258,292,323
Black Yellow Taxi,12.6,235,260,294,325
Black Yellow Taxi,12.7,237,262,296,328
Black Yellow Taxi,12.8,239,264,299,331
Black Yellow Taxi,12.9,241,267,301,333
Black Yellow Taxi,13,243,269,303,336
Black Yellow Taxi,13.1,244,271,306,338
Black Yellow Taxi,13.2,246,273,308,341
Black Yellow Taxi,13.3,248,275,310,343
Black Yellow Taxi,13.4,250,277,313,346
Black Yellow Taxi,13.5,252,279,315,349
Black Yellow Taxi,13.6,254,281,317,351
Black Yellow Taxi,13.7,256,283,320,354
Black Yellow Taxi,13.8,258,285,322,356
Black Yellow Taxi,13.9,259,287,324,359
Black Yellow Taxi,14,261,289,327,362
Black Yellow Taxi,14.1,263,291,329,364
Black Yellow Taxi,14.2,265,293,331,367
Black Yellow Taxi,14.3,267,295,334,369
Black Yellow Taxi,14.4,269,298,336,372
Black Yellow Taxi,14.5,271,300,338,374
Black Yellow Taxi,14.6,272,302,341,377
Black Yellow Taxi,14.7,274,304,343,380
Black Yellow Taxi,14.8,276,306,345,382
Black Yellow Taxi,14.9,278,308,348,385
Black Yellow Taxi,15,280,310,350,387
Black Yellow Taxi,15.1,282,312,352,390
Black Yellow Taxi,15.2,284,314,355,393
Black Yellow Taxi,15.3,285,316,357,395
